iter	Logloss
0	0.5944264678
1	0.5340548882
2	0.4817819492
3	0.4600555196
4	0.44466089
5	0.4252891712
6	0.4153270671
7	0.3997045508
8	0.3901886049
9	0.3782259347
10	0.3717317086
11	0.3672211419
12	0.3563857014
13	0.3421296023
14	0.3234189512
15	0.311605395
16	0.3062736817
17	0.2947122028
18	0.2914853461
19	0.2890643138
20	0.2852078649
21	0.2754599625
22	0.2738505826
23	0.2629941366
24	0.2600931445
25	0.2585343275
26	0.2531062596
27	0.2512422114
28	0.247307881
29	0.2450708854
30	0.2426991428
31	0.2401041918
32	0.2383588218
33	0.2327709643
34	0.2295982762
35	0.224914152
36	0.2231663897
37	0.221988957
38	0.2165064884
39	0.211245565
40	0.2103631327
41	0.2095855787
42	0.2068899274
43	0.2046097314
44	0.2034212609
45	0.2027657076
46	0.2018366389
47	0.2009853154
48	0.2000176316
49	0.1990793005
50	0.1985537898
51	0.1979998359
52	0.1955006006
53	0.1941609177
54	0.1936030243
55	0.1929247928
56	0.1917258153
57	0.1913133041
58	0.189553033
59	0.1882447727
60	0.1877835865
61	0.1870388984
62	0.185568353
63	0.1848904468
64	0.1834040927
65	0.181638697
66	0.1813148745
67	0.1806144131
68	0.1803762918
69	0.1798098238
70	0.1795976581
71	0.1793694697
72	0.1777665024
73	0.1774418225
74	0.1770996223
75	0.1766784856
76	0.1764412454
77	0.1761197745
78	0.175320375
79	0.175155946
80	0.1747014066
81	0.1744663218
82	0.1709580921
83	0.1706701927
84	0.1699841946
85	0.1691657969
86	0.1686494124
87	0.1680849399
88	0.1678811145
89	0.1676194809
90	0.16651543
91	0.1661990116
92	0.1653938043
93	0.1648214054
94	0.1645838913
95	0.1644261278
96	0.1642183802
97	0.1640469775
98	0.1626159482
99	0.1623318948
100	0.1615764071
101	0.1613685537
102	0.1608500372
103	0.160391803
104	0.1595455779
105	0.1593731582
106	0.1585946176
107	0.1584051294
108	0.1582551612
109	0.1580122788
110	0.157865533
111	0.1577656645
112	0.157593016
113	0.1571203413
114	0.1569626566
115	0.1568529125
116	0.1558794666
117	0.1557543062
118	0.1554585084
119	0.1552613362
120	0.1550977681
121	0.154838209
122	0.1546613991
123	0.1544568566
124	0.1540674705
125	0.1539300214
126	0.1537369336
127	0.1535006808
128	0.1532550634
129	0.153044982
130	0.1521977419
131	0.1519580669
132	0.151771643
133	0.1515768103
134	0.1513159747
135	0.1511977252
136	0.1510551359
137	0.1509263823
138	0.1497015177
139	0.1493718522
140	0.1492235613
141	0.1490561845
142	0.1489284129
143	0.1486182252
144	0.1483691514
145	0.148236983
146	0.147370151
147	0.1472668896
148	0.1470827449
149	0.147015652
150	0.1468900071
151	0.1467750152
152	0.1466342573
153	0.1465562719
154	0.1460946442
155	0.1456018955
156	0.1455183902
157	0.1453796907
158	0.1450924617
159	0.1446760672
160	0.1444429126
161	0.1443197058
162	0.1440233978
163	0.1439456822
164	0.1437684079
165	0.1436344576
166	0.1435073215
167	0.1426119065
168	0.1424801564
169	0.1423547016
170	0.142114617
171	0.1419082718
172	0.1417394633
173	0.1416511733
174	0.1415688224
175	0.1413664144
176	0.1408900601
177	0.1400438301
178	0.1399228479
179	0.1397970995
180	0.1396513916
181	0.1395331656
182	0.1393429633
183	0.1391708927
184	0.1389425764
185	0.1388111479
186	0.1387200057
187	0.1386313689
188	0.1385341039
189	0.1384266734
190	0.1383231439
191	0.1381707265
192	0.1380534654
193	0.1378281469
194	0.1376985052
195	0.1370083073
196	0.1368925396
197	0.1366934952
198	0.1363878446
199	0.1362865203
200	0.1352254835
201	0.1350890077
202	0.134654185
203	0.1345810585
204	0.1341052249
205	0.1339761108
206	0.1332632945
207	0.1331743879
208	0.1330723886
209	0.1329809183
210	0.1328669571
211	0.132758979
212	0.1326483127
213	0.1325365249
214	0.1324642769
215	0.1322285321
216	0.1321367504
217	0.1316222884
218	0.131525072
219	0.1305767164
220	0.1300978578
221	0.1296302937
222	0.129233841
223	0.129106001
224	0.1290646278
225	0.1287066059
226	0.1285929581
227	0.128519018
228	0.1283767198
229	0.1283110229
230	0.128203355
231	0.1278870922
232	0.1277855957
233	0.127699792
234	0.1275395176
235	0.1274594832
236	0.1273957364
237	0.1273097203
238	0.1272432586
239	0.127185288
240	0.1271222116
241	0.1270275332
242	0.1269337814
243	0.1268354885
244	0.1267587976
245	0.1266443352
246	0.1265726423
247	0.1264863418
248	0.1264452433
249	0.1263567493
250	0.1262757402
251	0.1261916168
252	0.1260781274
253	0.1260001055
254	0.1259217718
255	0.125830646
256	0.1254824999
257	0.1254206391
258	0.125102303
259	0.1250338219
260	0.1249550077
261	0.1248651659
262	0.1247990383
263	0.1246671199
264	0.1245606753
265	0.1245159633
266	0.1244743577
267	0.1244120927
268	0.124333404
269	0.124056586
270	0.1239670891
271	0.1238904285
272	0.1238124075
273	0.1237287153
274	0.1236437238
275	0.1235843184
276	0.1235010618
277	0.1234192255
278	0.1233499321
279	0.1232904279
280	0.1232026767
281	0.1231007858
282	0.1229874159
283	0.122943407
284	0.1228859962
285	0.1227933909
286	0.1226879029
287	0.1225890399
288	0.1225159444
289	0.1224456879
290	0.1223588686
291	0.1220159249
292	0.1219366583
293	0.1218561856
294	0.1217992194
295	0.1217385782
296	0.1216637252
297	0.1216033049
298	0.1215534299
299	0.1214729248
300	0.121385003
301	0.1213172858
302	0.121235242
303	0.1211748538
304	0.1211262011
305	0.1210769978
306	0.1209955696
307	0.1209204726
308	0.1208502737
309	0.1207917218
310	0.1207128863
311	0.1206530706
312	0.1205817987
313	0.1205167766
314	0.1204337973
315	0.1203591036
316	0.120293992
317	0.1202319004
318	0.1201517599
319	0.1200945271
320	0.1200347904
321	0.1199690148
322	0.11990845
323	0.1196429537
324	0.1195719566
325	0.1195237032
326	0.1194655025
327	0.1193758592
328	0.119288624
329	0.1192326746
330	0.1191802339
331	0.1191129601
332	0.1190594647
333	0.1189772149
334	0.1189379833
335	0.1188721674
336	0.1188094078
337	0.118754045
338	0.118682412
339	0.1185863125
340	0.1185155429
341	0.1184694708
342	0.1183960112
343	0.118325354
344	0.1182526834
345	0.1181958016
346	0.1181405837
347	0.1180831086
348	0.1179856094
349	0.1179067033
350	0.1178509662
351	0.1177815349
352	0.1177013251
353	0.1176455197
354	0.1175868633
355	0.1175070577
356	0.1174537307
357	0.11736558
358	0.1172995661
359	0.1172387404
360	0.1171835062
361	0.1171406144
362	0.1170806986
363	0.1170265383
364	0.1169636838
365	0.1168966992
366	0.1168303445
367	0.1167715507
368	0.1167089918
369	0.1166466945
370	0.1165889768
371	0.1165501694
372	0.1165028516
373	0.1164298956
374	0.1163589813
375	0.1162842102
376	0.1162213551
377	0.1161587937
378	0.1161034474
379	0.1160523669
380	0.1159872194
381	0.1159181667
382	0.1158650895
383	0.115818692
384	0.1157532859
385	0.1156956453
386	0.1156308648
387	0.115562599
388	0.1155001543
389	0.1154557702
390	0.1153867318
391	0.1153270306
392	0.1153046514
393	0.1152550074
394	0.11521402
395	0.1151482889
396	0.1151001938
397	0.1150410948
398	0.1149949728
399	0.1149364714
400	0.1148801648
401	0.1148222993
402	0.1147450494
403	0.1146769205
404	0.114598046
405	0.1145422044
406	0.1144784827
407	0.1144114401
408	0.1143514808
409	0.1143181146
410	0.1142650014
411	0.1142178187
412	0.1141432494
413	0.1140813872
414	0.1140088694
415	0.1139409849
416	0.113900878
417	0.1138458082
418	0.1137815
419	0.1137421879
420	0.1136608931
421	0.1135939919
422	0.1135158342
423	0.1134419084
424	0.1134070952
425	0.1133594158
426	0.1132993268
427	0.1132469881
428	0.113181264
429	0.113126701
430	0.1130866795
431	0.1130280673
432	0.112970684
433	0.1129137417
434	0.1128595538
435	0.1126673641
436	0.1126022897
437	0.112555809
438	0.1125026194
439	0.1124416809
440	0.112415819
441	0.1123650136
442	0.1123078969
443	0.1122597221
444	0.1122240993
445	0.1121604579
446	0.1121020613
447	0.1120442454
448	0.1119735516
449	0.1118966973
450	0.1118615115
451	0.1118211425
452	0.1117597744
453	0.1117127446
454	0.1116728602
455	0.1115983313
456	0.1115476436
457	0.1114922158
458	0.1114456993
459	0.1113675177
460	0.1113271835
461	0.1112670461
462	0.1112363122
463	0.1111828021
464	0.1111295568
465	0.1110503557
466	0.1109970615
467	0.110945832
468	0.1109067859
469	0.110864299
470	0.110813837
471	0.1107588396
472	0.110712474
473	0.1106138423
474	0.1105562094
475	0.1105111328
476	0.1104640881
477	0.1104081399
