iter	Passed	Remaining
403	9399	13866
404	9409	13823
405	9418	13779
406	9429	13738
407	9439	13696
408	9550	13800
409	9560	13757
410	9570	13715
411	9579	13672
412	9591	13631
413	9626	13626
414	9710	13688
415	9719	13645
416	9728	13600
417	9737	13557
418	9745	13512
419	9754	13470
420	9806	13486
421	9870	13519
422	9879	13476
423	9888	13433
424	9897	13391
425	9906	13348
426	9914	13305
427	9924	13263
428	9932	13220
429	9941	13178
430	9980	13175
431	10049	13213
432	10058	13170
433	10067	13129
434	10075	13086
435	10084	13045
436	10092	13002
437	10102	12962
438	10110	12920
439	10120	12880
440	10127	12837
441	10137	12797
442	10146	12757
443	10154	12716
444	10163	12675
445	10171	12634
446	10252	12683
447	10282	12669
448	10291	12630
449	10302	12591
450	10311	12552
451	10320	12512
452	10385	12540
453	10437	12552
454	10446	12513
455	10455	12472
456	10464	12433
457	10472	12393
458	10482	12354
459	10490	12315
460	10499	12275
461	10576	12316
462	10620	12317
463	10633	12283
464	10642	12244
465	10650	12204
466	10752	12271
467	10761	12233
468	10769	12193
469	10778	12154
470	10787	12116
471	10796	12076
472	10842	12079
473	10913	12110
474	10922	12072
475	10931	12033
476	10939	11994
477	10948	11956
478	10957	11918
479	11026	11945
480	11075	11950
481	11084	11912
482	11093	11873
483	11101	11835
484	11113	11800
485	11220	11867
486	11229	11828
487	11239	11792
488	11248	11754
489	11257	11717
490	11266	11679
491	11342	11711
492	11383	11706
493	11391	11668
494	11400	11631
495	11409	11593
496	11418	11555
497	11426	11518
498	11514	11560
499	11535	11535
500	11543	11497
501	11552	11460
502	11561	11423
503	11569	11386
504	11594	11364
505	11684	11406
506	11694	11371
507	11704	11335
508	11713	11299
509	11722	11263
510	11738	11232
511	11842	11287
512	11851	11250
513	11860	11214
514	11870	11179
515	11880	11144
516	11905	11122
517	12001	11167
518	12010	11131
519	12022	11097
520	12031	11061
521	12040	11026
522	12057	10997
523	12159	11046
524	12172	11013
525	12183	10979
526	12193	10944
527	12203	10909
528	12263	10918
529	12315	10921
530	12326	10887
531	12337	10853
532	12363	10832
533	12469	10881
534	12479	10846
535	12489	10811
536	12500	10777
537	12509	10741
538	12576	10756
539	12631	10759
540	12640	10724
541	12650	10689
542	12661	10656
543	12669	10620
544	12722	10621
545	12787	10632
546	12797	10597
547	12805	10562
548	12814	10526
549	12822	10491
550	12831	10455
551	12926	10491
552	12950	10468
553	12960	10434
554	12969	10398
555	12977	10363
556	12986	10328
557	12994	10293
558	13003	10258
559	13012	10223
560	13020	10189
561	13028	10154
562	13037	10119
563	13095	10123
564	13155	10128
565	13165	10095
566	13176	10062
567	13186	10029
568	13195	9995
569	13204	9961
570	13213	9927
571	13222	9894
572	13231	9859
573	13240	9826
574	13248	9792
575	13257	9758
576	13265	9724
577	13273	9691
578	13283	9658
579	13317	9643
580	13399	9663
581	13408	9629
582	13417	9597
583	13425	9563
584	13434	9530
585	13443	9497
586	13452	9464
587	13461	9431
588	13469	9399
589	13478	9366
590	13486	9333
591	13495	9301
592	13503	9268
593	13512	9235
594	13521	9203
595	13529	9171
596	13538	9138
597	13547	9107
598	13555	9074
599	13564	9042
600	13572	9010
601	13632	9012
602	13690	9013
603	13698	8981
604	13707	8949
605	13715	8917
606	13724	8885
607	13732	8854
608	13820	8873
609	13850	8855
610	13859	8824
611	13868	8792
612	13877	8761
613	13885	8729
614	13913	8710
615	14004	8730
616	14013	8698
617	14022	8667
618	14030	8635
619	14039	8604
620	14047	8573
621	14058	8543
622	14100	8532
623	14186	8548
624	14195	8517
625	14204	8486
626	14213	8455
627	14223	8425
628	14231	8393
629	14333	8418
630	14348	8390
631	14356	8359
632	14365	8328
633	14373	8297
634	14382	8267
635	14392	8237
636	14495	8260
637	14507	8231
638	14516	8200
639	14524	8170
640	14534	8140
641	14543	8110
642	14552	8079
643	14560	8049
644	14569	8018
645	14577	7988
646	14587	7958
647	14595	7928
648	14686	7943
649	14715	7923
650	14724	7893
651	14734	7864
652	14742	7834
653	14751	7804
654	14789	7790
655	14870	7797
656	14879	7768
657	14888	7738
658	14900	7710
659	14910	7681
660	14968	7676
661	15029	7673
662	15040	7644
663	15049	7615
664	15060	7586
665	15068	7557
666	15113	7545
667	15190	7550
668	15201	7521
669	15211	7492
670	15222	7463
671	15231	7434
672	15241	7405
673	15249	7375
674	15258	7346
675	15267	7317
676	15276	7288
677	15287	7260
678	15296	7231
679	15307	7203
680	15341	7186
681	15416	7188
682	15425	7159
683	15433	7130
684	15442	7101
685	15451	7072
686	15460	7043
687	15547	7050
688	15570	7028
689	15579	6999
690	15589	6971
691	15600	6943
692	15609	6915
693	15705	6924
694	15727	6902
695	15736	6873
696	15744	6844
697	15753	6816
698	15762	6787
699	15782	6764
700	15887	6776
701	15900	6749
702	15908	6721
703	15918	6692
704	15927	6664
705	16006	6665
706	16049	6651
707	16063	6625
708	16076	6598
709	16171	6605
710	16198	6584
711	16208	6556
712	16216	6527
713	16226	6499
714	16235	6471
715	16331	6477
716	16353	6454
717	16363	6426
718	16372	6398
719	16380	6370
720	16389	6342
721	16412	6319
722	16507	6324
723	16515	6295
724	16524	6267
725	16532	6239
726	16541	6211
727	16549	6183
728	16558	6155
729	16566	6127
730	16575	6099
731	16583	6071
732	16592	6043
733	16600	6015
734	16609	5988
735	16618	5960
736	16626	5933
737	16635	5905
738	16644	5878
739	16652	5850
740	16660	5823
741	16669	5796
742	16719	5783
743	16787	5776
744	16795	5748
745	16804	5721
746	16812	5694
747	16822	5667
748	16830	5640
749	16928	5642
750	16941	5617
751	16950	5590
752	16958	5562
753	16967	5535
754	16975	5508
755	16984	5481
756	16993	5454
757	17002	5428
758	17010	5401
759	17018	5374
760	17027	5347
761	17091	5338
762	17149	5326
763	17158	5300
764	17168	5274
765	17178	5247
766	17187	5221
767	17254	5212
768	17304	5198
769	17313	5171
770	17321	5144
771	17331	5118
772	17339	5091
773	17348	5065
774	17357	5039
775	17365	5012
776	17374	4986
777	17382	4960
778	17391	4933
779	17415	4911
780	17500	4907
781	17508	4881
782	17516	4854
783	17525	4828
784	17534	4802
785	17542	4776
786	17592	4761
787	17651	4748
788	17661	4723
789	17677	4699
790	17692	4674
791	17701	4648
792	17751	4633
793	17819	4623
794	17828	4597
795	17841	4572
796	17852	4547
797	17862	4521
798	17948	4515
799	17983	4495
800	17992	4469
801	18002	4444
802	18012	4418
803	18021	4393
804	18092	4382
805	18143	4366
806	18153	4341
807	18163	4316
808	18173	4290
809	18184	4265
810	18285	4261
811	18294	4235
812	18304	4210
813	18314	4184
814	18323	4159
815	18333	4133
816	18427	4127
817	18450	4105
818	18460	4079
819	18469	4054
820	18481	4029
821	18491	4004
822	18593	3998
823	18611	3975
824	18620	3949
825	18630	3924
826	18639	3899
827	18649	3873
828	18728	3863
829	18766	3843
830	18775	3818
831	18783	3792
832	18792	3767
833	18800	3742
834	18809	3716
835	18817	3691
836	18829	3666
837	18839	3641
838	18847	3616
839	18856	3591
840	18864	3566
841	18873	3541
842	18881	3516
843	18891	3491
844	18899	3466
845	18909	3442
846	18917	3417
847	18927	3392
848	18936	3367
849	18945	3343
850	19011	3328
851	19063	3311
852	19072	3286
853	19081	3262
854	19090	3237
855	19101	3213
856	19144	3194
857	19211	3179
858	19222	3155
859	19231	3130
860	19240	3106
861	19249	3081
862	19257	3057
863	19266	3032
864	19274	3008
865	19283	2983
866	19291	2959
867	19300	2935
868	19308	2910
869	19317	2886
870	19325	2862
871	19334	2838
872	19411	2823
873	19459	2805
874	19471	2781
875	19481	2757
876	19489	2733
877	19507	2710
878	19596	2697
879	19605	2673
880	19613	2649
881	19622	2625
882	19630	2601
883	19639	2577
884	19684	2557
885	19765	2543
886	19774	2519
887	19783	2495
888	19792	2471
889	19800	2447
890	19809	2423
891	19817	2399
892	19856	2379
893	19927	2362
894	19935	2338
895	19944	2315
896	19952	2291
897	19961	2267
898	19970	2243
899	20054	2228
900	20091	2207
901	20100	2183
902	20110	2160
903	20119	2136
904	20129	2112
905	20137	2089
906	20145	2065
907	20154	2042
908	20163	2018
